committee_name,election_cycle,count,party
PERDUE FOR SENATE,2018,1,
PERDUE FOR SENATE,2020,1,
PERDUE FOR SENATE,2022,1,
PERDUE FOR SENATE,2024,1,
PERKINS FOR LOUISIANA,2016,1,
PERKINS FOR LOUISIANA,2018,1,
PERKINS FOR LOUISIANA,2020,1,
PERKINS FOR LOUISIANA,2022,1,
PERKINS FOR LOUISIANA,2024,1,
POLICE COALITION OF AMERICA PAC,2016,1,
POLICE COALITION OF AMERICA PAC,2018,1,
POLICE COALITION OF AMERICA PAC,2020,1,
POLICE COALITION OF AMERICA PAC,2022,1,
POLICE COALITION OF AMERICA PAC,2024,1,
POLIQUIN FOR CONGRESS,2016,1,
POLIQUIN FOR CONGRESS,2018,1,
POLIQUIN FOR CONGRESS,2020,1,
POLIQUIN FOR CONGRESS,2022,1,
POLIQUIN FOR CONGRESS,2024,1,
PROGRESSIVE TAKEOVER,2016,1,
PROGRESSIVE TAKEOVER,2018,1,
PROGRESSIVE TAKEOVER,2020,1,
PROGRESSIVE TAKEOVER,2022,1,
PROGRESSIVE TAKEOVER,2024,1,
PULLEN FOR US,2016,1,
PULLEN FOR US,2018,1,
PULLEN FOR US,2020,1,
PULLEN FOR US,2022,1,
PULLEN FOR US,2024,1,
RENACCI FOR US SENATE,2016,1,
RENACCI FOR US SENATE,2018,1,
RENACCI FOR US SENATE,2020,1,
RENACCI FOR US SENATE,2022,1,
RENACCI FOR US SENATE,2024,1,
RON DESANTIS FOR FLORIDA,2016,1,
RON DESANTIS FOR FLORIDA,2018,1,
RON DESANTIS FOR FLORIDA,2020,1,
RON DESANTIS FOR FLORIDA,2022,1,
RON DESANTIS FOR FLORIDA,2024,1,
SAAFIR FOR CONGRESS,2016,1,
SAAFIR FOR CONGRESS,2018,1,
SAAFIR FOR CONGRESS,2020,1,
SAAFIR FOR CONGRESS,2022,1,
SAAFIR FOR CONGRESS,2024,1,
SANFORD BISHOP FOR CONGRESS,2016,1,
SANFORD BISHOP FOR CONGRESS,2018,1,
SANFORD BISHOP FOR CONGRESS,2020,1,
SANFORD BISHOP FOR CONGRESS,2022,1,
SANFORD BISHOP FOR CONGRESS,2024,1,
SAYLES FOR US,2016,1,
SAYLES FOR US,2018,1,
SAYLES FOR US,2020,1,
SAYLES FOR US,2022,1,
SAYLES FOR US,2024,1,
SCHIFF FOR CONGRESS,2016,1,
SCHIFF FOR CONGRESS,2018,1,
SCHIFF FOR CONGRESS,2020,1,
SCHIFF FOR CONGRESS,2022,1,
SCHIFF FOR CONGRESS,2024,1,
SCHIFF FOR SENATE,2016,1,
SCHIFF FOR SENATE,2018,1,
SCHIFF FOR SENATE,2020,1,
SCHIFF FOR SENATE,2022,1,
SCHIFF FOR SENATE,2024,1,
SHAHEEN FOR SENATE,2016,1,
SHAHEEN FOR SENATE,2018,1,
SHAHEEN FOR SENATE,2020,1,
SHAHEEN FOR SENATE,2022,1,
SHAHEEN FOR SENATE,2024,1,
"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",2016,1,
"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",2018,1,
"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",2020,1,
"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",2022,1,
"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",2024,1,
SOCIALLY RESPONSIBLE GOVERNMENT,2016,1,
SOCIALLY RESPONSIBLE GOVERNMENT,2018,1,
SOCIALLY RESPONSIBLE GOVERNMENT,2020,1,
SOCIALLY RESPONSIBLE GOVERNMENT,2022,1,
SOCIALLY RESPONSIBLE GOVERNMENT,2024,1,
SPANBERGER FOR CONGRESS,2016,1,
SPANBERGER FOR CONGRESS,2018,1,
SPANBERGER FOR CONGRESS,2020,1,
SPANBERGER FOR CONGRESS,2022,1,
SPANBERGER FOR CONGRESS,2024,1,
STABENOW FOR US SENATE,2016,1,
STABENOW FOR US SENATE,2018,1,
STABENOW FOR US SENATE,2020,1,
STABENOW FOR US SENATE,2022,1,
STABENOW FOR US SENATE,2024,1,
STEVE IRWIN FOR CONGRESS,2016,1,
STEVE IRWIN FOR CONGRESS,2018,1,
STEVE IRWIN FOR CONGRESS,2020,1,
STEVE IRWIN FOR CONGRESS,2022,1,
STEVE IRWIN FOR CONGRESS,2024,1,
SUOZZI FOR CONGRESS,2016,1,
SUOZZI FOR CONGRESS,2018,1,
SUOZZI FOR CONGRESS,2020,1,
SUOZZI FOR CONGRESS,2022,1,
SUOZZI FOR CONGRESS,2024,1,
TAMMY FOR ILLINOIS,2016,1,
TAMMY FOR ILLINOIS,2018,1,
TAMMY FOR ILLINOIS,2020,1,
TAMMY FOR ILLINOIS,2022,1,
TAMMY FOR ILLINOIS,2024,1,
"TEAM GRAHAM, INC.",2016,1,
"TEAM GRAHAM, INC.",2018,1,
"TEAM GRAHAM, INC.",2020,1,
"TEAM GRAHAM, INC.",2022,1,
"TEAM GRAHAM, INC.",2024,1,
TERRI HILL FOR CONGRESS,2016,1,
TERRI HILL FOR CONGRESS,2018,1,
TERRI HILL FOR CONGRESS,2020,1,
TERRI HILL FOR CONGRESS,2022,1,
TERRI HILL FOR CONGRESS,2024,1,
THE 2016 COMMITTEE,2016,1,
THE 2016 COMMITTEE,2018,1,
THE 2016 COMMITTEE,2020,1,
THE 2016 COMMITTEE,2022,1,
THE 2016 COMMITTEE,2024,1,
THERESA GREENFIELD FOR IOWA,2016,1,
THERESA GREENFIELD FOR IOWA,2018,1,
THERESA GREENFIELD FOR IOWA,2020,1,
THERESA GREENFIELD FOR IOWA,2022,1,
THERESA GREENFIELD FOR IOWA,2024,1,
TINA FORTE FOR CONGRESS,2016,1,
TINA FORTE FOR CONGRESS,2018,1,
TINA FORTE FOR CONGRESS,2020,1,
TINA FORTE FOR CONGRESS,2022,1,
TINA FORTE FOR CONGRESS,2024,1,
TOM ROYALS FOR CONGRESS,2016,1,
TOM ROYALS FOR CONGRESS,2018,1,
TOM ROYALS FOR CONGRESS,2020,1,
TOM ROYALS FOR CONGRESS,2022,1,
TOM ROYALS FOR CONGRESS,2024,1,
"TRUMP 47 COMMITTEE, INC.",2016,1,
"TRUMP 47 COMMITTEE, INC.",2018,1,
"TRUMP 47 COMMITTEE, INC.",2020,1,
"TRUMP 47 COMMITTEE, INC.",2022,1,
"TRUMP 47 COMMITTEE, INC.",2024,1,
TULSI ALOHA,2016,1,
TULSI ALOHA,2018,1,
TULSI ALOHA,2020,1,
TULSI ALOHA,2022,1,
TULSI ALOHA,2024,1,
UNITED WITH DELIA FOR CONGRESS,2016,1,
UNITED WITH DELIA FOR CONGRESS,2018,1,
UNITED WITH DELIA FOR CONGRESS,2020,1,
UNITED WITH DELIA FOR CONGRESS,2022,1,
UNITED WITH DELIA FOR CONGRESS,2024,1,
VOTE SAVE AMERICA,2016,1,
VOTE SAVE AMERICA,2018,1,
VOTE SAVE AMERICA,2020,1,
VOTE SAVE AMERICA,2022,1,
VOTE SAVE AMERICA,2024,1,
"WARREN DEMOCRATS, INC.",2016,1,
"WARREN DEMOCRATS, INC.",2018,1,
"WARREN DEMOCRATS, INC.",2020,1,
"WARREN DEMOCRATS, INC.",2022,1,
"WARREN DEMOCRATS, INC.",2024,1,
WILEY NICKEL FOR CONGRESS,2016,1,
WILEY NICKEL FOR CONGRESS,2018,1,
WILEY NICKEL FOR CONGRESS,2020,1,
WILEY NICKEL FOR CONGRESS,2022,1,
WILEY NICKEL FOR CONGRESS,2024,1,
WILL ROLLINS FOR CONGRESS,2016,1,
WILL ROLLINS FOR CONGRESS,2018,1,
WILL ROLLINS FOR CONGRESS,2020,1,
WILL ROLLINS FOR CONGRESS,2022,1,
WILL ROLLINS FOR CONGRESS,2024,1,
YURIPZY MORGAN FOR CONGRESS,2016,1,
YURIPZY MORGAN FOR CONGRESS,2018,1,
YURIPZY MORGAN FOR CONGRESS,2020,1,
YURIPZY MORGAN FOR CONGRESS,2022,1,
YURIPZY MORGAN FOR CONGRESS,2024,1,
