committee_name,election_cycle,count,party
DEMOCRATIC ACTION,2022,7,Democrat
DEMOCRATIC ACTION,2024,7,Democrat
DONNA EDWARDS FOR SENATE,2016,7,Democrat
DONNA EDWARDS FOR SENATE,2018,7,Democrat
DONNA EDWARDS FOR SENATE,2020,7,Democrat
DONNA EDWARDS FOR SENATE,2022,7,Democrat
DONNA EDWARDS FOR SENATE,2024,7,Democrat
PARROTT FOR CONGRESS,2016,7,Republican
PARROTT FOR CONGRESS,2018,7,Republican
PARROTT FOR CONGRESS,2020,7,Republican
PARROTT FOR CONGRESS,2022,7,Republican
PARROTT FOR CONGRESS,2024,7,Republican
"AMY MCGRATH FOR SENATE, INC.",2016,6,Democrat
"AMY MCGRATH FOR SENATE, INC.",2018,6,Democrat
"AMY MCGRATH FOR SENATE, INC.",2020,6,Democrat
"AMY MCGRATH FOR SENATE, INC.",2022,6,Democrat
"AMY MCGRATH FOR SENATE, INC.",2024,6,Democrat
FRIENDS OF SHERROD BROWN,2016,6,Democrat
FRIENDS OF SHERROD BROWN,2018,6,Democrat
FRIENDS OF SHERROD BROWN,2020,6,Democrat
FRIENDS OF SHERROD BROWN,2022,6,Democrat
FRIENDS OF SHERROD BROWN,2024,6,Democrat
JAIME HARRISON FOR US SENATE,2016,6,Democrat
JAIME HARRISON FOR US SENATE,2018,6,Democrat
JAIME HARRISON FOR US SENATE,2020,6,Democrat
JAIME HARRISON FOR US SENATE,2022,6,Democrat
JAIME HARRISON FOR US SENATE,2024,6,Democrat
VAN HOLLEN FOR SENATE,2016,6,Democrat
VAN HOLLEN FOR SENATE,2018,6,Democrat
VAN HOLLEN FOR SENATE,2020,6,Democrat
VAN HOLLEN FOR SENATE,2022,6,Democrat
VAN HOLLEN FOR SENATE,2024,6,Democrat
BERNIE 2016,2016,5,Democrat
BERNIE 2016,2018,5,Democrat
BERNIE 2016,2020,5,Democrat
BERNIE 2016,2022,5,Democrat
BERNIE 2016,2024,5,Democrat
CRUZ FOR PRESIDENT,2016,5,Republican
CRUZ FOR PRESIDENT,2018,5,Republican
CRUZ FOR PRESIDENT,2020,5,Republican
CRUZ FOR PRESIDENT,2022,5,Republican
CRUZ FOR PRESIDENT,2024,5,Republican
IT STARTS TODAY,2016,5,Democrat
IT STARTS TODAY,2018,5,Democrat
IT STARTS TODAY,2020,5,Democrat
IT STARTS TODAY,2022,5,Democrat
IT STARTS TODAY,2024,5,Democrat
JON OSSOFF FOR SENATE,2016,5,Democrat
JON OSSOFF FOR SENATE,2018,5,Democrat
JON OSSOFF FOR SENATE,2020,5,Democrat
JON OSSOFF FOR SENATE,2022,5,Democrat
JON OSSOFF FOR SENATE,2024,5,Democrat
